,d_param,Gyroid,Schwarz
0,-0.9850857963678312,7.828018761121015,12.817730856360317
1,-0.8343366615126921,8.08632214019944,11.421037293725302
2,-0.602925211425586,8.421331346657409,10.05991544966167
3,-0.3570991091345442,8.694552653735123,8.853320509432532
4,-0.3508852918087629,8.698730093252404,8.856987405291232
5,-0.2623206879754544,8.77840949275147,8.563514838967553
6,-0.0861510929496476,8.89337128686828,8.08908898608963
7,0.1846482743992767,8.821489246280454,7.1650925558561624
8,0.4294859077816455,8.609666012771024,6.492101253992025
9,0.4461777762621521,8.594760837726408,6.4585884318653735
10,0.465394608817425,8.577063771892009,6.398882899223407
11,0.583935658785212,8.452267940187147,6.092819335373584
12,0.6425499439208111,8.380562844307613,5.921346414997265
13,0.7132291852184753,8.281656781871883,5.739262391521411
14,0.7213150183216164,8.267385472031798,5.713074754835709
15,0.7784261431370918,8.178184778263875,5.532657836257982
16,0.8677782656328097,8.030560352794485,5.232656232546902
17,0.873779300317322,8.0222355102282,5.2353864495363505
18,0.953246239519624,7.87252512377202,5.0545325340209
19,0.9595609819109678,7.865699849740758,5.054643398053619
